time,open,high,low,close,CDV Line,CDV Candles (Open),CDV Candles (High,CDV Candles (Low),CDV Candles (Close),SMA 1,SMA 2,EMA 1,EMA 2
1705609800,37665,37677,37636,37637,,20755.174473492385,22399.317037251658,20442.073134812632,21420.695086032145,,,,
1705610400,37637,37670,37625,37666,,21087.934779762265,22069.25091259041,20442.073134812632,21255.662023701523,,,,
1705611000,37666,37708,37641,37654,,21171.798401731896,22069.25091259041,18456.474793187426,20262.86285288892,,,,
1705611600,37653,37654,37616,37627,,20717.33062731041,20717.33062731041,16213.948477397953,17335.21163529269,,,,
1705612200,37627,37633,37618,37631,,19026.27113130155,19026.27113130155,16213.948477397953,16406.16514406462,,,,
1705674600,37766,37789,37682,37698,,17716.218137683085,17716.218137683085,7030.624801385493,11814.50330605839,,,,
1705675200,37698,37701,37633,37668,,14765.360721870737,14765.360721870737,2263.9336249149046,4647.279213150199,,,,
1705675800,37668,37725,37661,37725,,9706.319967510468,9706.319967510468,2263.9336249149046,4038.2851874149046,,,,
1705676400,37722,37762,37663,37693,,6872.302577462686,6872.302577462686,1833.0003862785406,3822.8185680967226,,,,
1705677000,37694,37743,37667,37741,,5347.560572779705,5347.560572779705,1833.0003862785406,3039.9378862785406,,,,
1705677600,37742,37753,37708,37740,,4193.749229529123,4246.875386278541,3003.464275167429,3625.169830722985,,,,
1705678200,37739,37741,37683,37720,,3909.4595301260542,3909.4595301260542,1297.51599930536,2150.4901372363947,,,,
1705678800,37721,37771,37714,37747,,3029.9748336812245,3029.9748336812245,1297.51599930536,2126.7879291299214,,,,
1705679400,37748,37792,37733,37781,,2578.381381405573,4800.737825056178,2578.381381405573,3878.39884200533,,,,
1705680000,37781,37808,37759,37805,,3228.3901117054515,6502.829661790872,3228.3901117054515,5651.783743423524,,,,
1705680600,37805,37849,37804,37829,,4440.086927564488,9170.82966179087,4440.086927564488,7836.829661790871,,,,
1705681200,37831,37841,37815,37818,,6138.458294677679,9170.82966179087,6138.458294677679,8438.82966179087,,,,
1705681800,37817,37818,37778,37791,,7288.643978234275,7706.829661790871,6011.454661790871,6859.142161790871,,,,
1705682400,37791,37794,37757,37759,,7073.893070012573,7073.893070012573,4413.265472601682,5212.360067196276,,,,
1705683000,37759,37795,37754,37788,,6143.126568604424,6225.582545772413,4413.265472601682,5319.424009187047,,,,
1705683600,37788,37797,37774,37781,,5731.275288895736,6225.582545772413,5467.756458815891,5846.669502294153,,,,
1705684200,37782,37810,37755,37796,,5788.972395594945,6688.429186088619,5467.756458815891,6078.092822452255,,,,
1705684800,37795,37839,37790,37832,,5933.532609023599,8368.939390170251,5933.532609023599,7528.684288129434,,,,
1705685400,37832,37884,37832,37847,,6731.108448576517,11439.343236324097,6731.108448576517,9904.141313247175,,,,
